ID,бизнес,культура,медиа,наука_и_техника,общество_и_путешествия,политика,происшествия,силовые_структуры,спорт,экономика_и_финансы
185,39.0,500.0,142.0,154.0,1838.0,626.0,4.0,83.0,221.0,687.0
186,47.0,534.0,250.0,170.0,1912.0,739.0,20.0,94.0,237.0,761.0
187,48.0,519.0,232.0,183.0,1916.0,762.0,14.0,102.0,228.0,693.0
188,28.0,500.0,219.0,145.0,1789.0,897.0,3.0,89.0,272.0,611.0
189,12.0,249.0,181.0,111.0,1185.0,494.0,9.0,61.0,208.0,308.0
190,6.0,118.0,104.0,55.0,659.0,291.0,22.0,26.0,128.0,211.0
191,8.0,102.0,56.0,38.0,457.0,212.0,7.0,19.0,92.0,167.0
192,12.0,133.0,56.0,41.0,623.0,217.0,6.0,39.0,61.0,191.0
193,41.0,273.0,138.0,108.0,1160.0,409.0,2.0,62.0,124.0,479.0
194,39.0,414.0,182.0,165.0,1933.0,718.0,10.0,78.0,245.0,866.0
195,43.0,480.0,170.0,184.0,1989.0,700.0,2.0,60.0,214.0,818.0
196,70.0,489.0,150.0,161.0,1819.0,605.0,1.0,77.0,206.0,675.0
197,39.0,544.0,143.0,159.0,2029.0,687.0,4.0,77.0,215.0,650.0
198,38.0,594.0,123.0,170.0,2001.0,783.0,1.0,66.0,188.0,769.0
199,60.0,582.0,115.0,170.0,2019.0,769.0,21.0,76.0,264.0,611.0
200,39.0,470.0,146.0,162.0,2169.0,717.0,25.0,60.0,210.0,562.0
201,10.0,264.0,131.0,92.0,1593.0,429.0,13.0,58.0,241.0,274.0
202,8.0,145.0,63.0,45.0,864.0,249.0,18.0,25.0,139.0,177.0
203,11.0,90.0,29.0,33.0,567.0,156.0,7.0,25.0,66.0,151.0
204,21.0,124.0,42.0,48.0,673.0,177.0,4.0,23.0,57.0,175.0
205,34.0,260.0,91.0,121.0,1218.0,426.0,7.0,59.0,135.0,448.0
206,45.0,447.0,138.0,143.0,2059.0,729.0,11.0,93.0,197.0,840.0
207,49.0,504.0,133.0,154.0,2086.0,670.0,0.0,79.0,204.0,789.0
208,39.0,583.0,153.0,143.0,1849.0,653.0,1.0,68.0,183.0,677.0
209,39.0,625.0,162.0,155.0,1946.0,700.0,0.0,72.0,205.0,670.0
210,51.0,641.0,151.0,165.0,2005.0,717.0,1.0,62.0,213.0,716.0
211,42.0,579.0,137.0,192.0,1856.0,780.0,23.0,136.0,204.0,711.0
212,17.0,491.0,185.0,181.0,1806.0,744.0,6.0,68.0,207.0,551.0
213,16.0,316.0,121.0,109.0,1181.0,470.0,5.0,46.0,214.0,295.0
214,4.0,192.0,68.0,55.0,627.0,268.0,4.0,20.0,121.0,172.0
215,3.0,86.0,44.0,33.0,353.0,157.0,3.0,14.0,52.0,79.0
216,4.0,71.0,45.0,41.0,307.0,178.0,3.0,12.0,39.0,105.0
217,6.0,138.0,59.0,65.0,597.0,233.0,8.0,16.0,65.0,153.0
218,6.0,317.0,142.0,127.0,1216.0,453.0,12.0,64.0,161.0,376.0
219,12.0,509.0,170.0,203.0,1750.0,627.0,17.0,119.0,218.0,487.0
220,13.0,473.0,163.0,179.0,1663.0,513.0,12.0,99.0,227.0,418.0
221,10.0,397.0,172.0,148.0,1697.0,551.0,11.0,109.0,204.0,384.0
222,9.0,415.0,158.0,94.0,1509.0,536.0,10.0,91.0,245.0,374.0
223,13.0,366.0,133.0,96.0,1284.0,456.0,5.0,76.0,293.0,264.0
224,9.0,277.0,154.0,73.0,1027.0,465.0,9.0,67.0,279.0,231.0
225,2.0,223.0,98.0,51.0,850.0,361.0,8.0,53.0,260.0,126.0
226,1.0,115.0,68.0,38.0,515.0,216.0,6.0,18.0,146.0,94.0
227,3.0,92.0,31.0,24.0,299.0,162.0,4.0,36.0,48.0,66.0
228,2.0,55.0,37.0,20.0,293.0,125.0,4.0,42.0,54.0,67.0
229,6.0,122.0,59.0,50.0,493.0,209.0,2.0,44.0,73.0,128.0
230,8.0,228.0,129.0,109.0,1007.0,437.0,5.0,63.0,229.0,241.0
231,16.0,455.0,206.0,138.0,1667.0,687.0,12.0,94.0,309.0,377.0
232,12.0,483.0,176.0,141.0,1537.0,604.0,12.0,89.0,275.0,325.0
233,9.0,376.0,151.0,87.0,1523.0,569.0,14.0,83.0,247.0,309.0
234,5.0,309.0,126.0,86.0,1480.0,549.0,8.0,71.0,252.0,272.0
235,6.0,283.0,126.0,92.0,1314.0,475.0,8.0,72.0,281.0,237.0
236,6.0,254.0,128.0,86.0,1121.0,392.0,8.0,53.0,275.0,188.0
237,2.0,213.0,123.0,78.0,892.0,309.0,7.0,51.0,266.0,160.0
238,3.0,137.0,94.0,41.0,470.0,241.0,5.0,37.0,124.0,145.0
239,4.0,104.0,93.0,33.0,436.0,169.0,4.0,44.0,58.0,139.0
240,15.0,131.0,69.0,34.0,599.0,177.0,9.0,67.0,77.0,209.0
241,24.0,304.0,112.0,107.0,1172.0,415.0,6.0,62.0,180.0,471.0
242,33.0,465.0,193.0,153.0,1884.0,747.0,8.0,141.0,256.0,819.0
243,31.0,485.0,180.0,175.0,1890.0,723.0,12.0,128.0,259.0,785.0
244,42.0,528.0,123.0,176.0,1816.0,592.0,2.0,89.0,225.0,536.0
245,46.0,572.0,139.0,139.0,2011.0,662.0,1.0,92.0,254.0,683.0
246,38.0,643.0,144.0,159.0,2007.0,682.0,2.0,117.0,234.0,653.0
247,40.0,552.0,179.0,154.0,2048.0,724.0,11.0,111.0,215.0,636.0
248,32.0,487.0,221.0,164.0,1870.0,734.0,16.0,130.0,290.0,605.0
249,13.0,256.0,152.0,111.0,1192.0,438.0,15.0,101.0,251.0,380.0
250,2.0,192.0,85.0,64.0,636.0,252.0,11.0,70.0,110.0,226.0
251,7.0,115.0,62.0,43.0,490.0,174.0,7.0,52.0,56.0,160.0
252,11.0,144.0,68.0,60.0,750.0,230.0,10.0,48.0,84.0,216.0
253,24.0,364.0,137.0,143.0,1267.0,464.0,6.0,77.0,136.0,498.0
254,28.0,452.0,188.0,177.0,1806.0,805.0,11.0,146.0,217.0,853.0
255,46.0,585.0,154.0,179.0,1900.0,654.0,4.0,105.0,234.0,836.0
256,49.0,592.0,111.0,152.0,1698.0,642.0,1.0,86.0,225.0,664.0
257,41.0,627.0,144.0,171.0,1864.0,695.0,1.0,78.0,201.0,745.0
258,33.0,736.0,126.0,173.0,1946.0,700.0,1.0,115.0,210.0,660.0
259,47.0,626.0,134.0,171.0,1889.0,764.0,13.0,96.0,220.0,714.0
260,28.0,482.0,164.0,202.0,1985.0,685.0,8.0,72.0,286.0,558.0
261,14.0,273.0,123.0,129.0,1461.0,502.0,8.0,47.0,182.0,356.0
262,4.0,138.0,89.0,66.0,785.0,281.0,13.0,21.0,110.0,213.0
263,5.0,100.0,35.0,51.0,586.0,218.0,7.0,25.0,72.0,183.0
264,18.0,114.0,36.0,55.0,657.0,228.0,5.0,34.0,83.0,270.0
265,24.0,295.0,76.0,109.0,1253.0,522.0,10.0,70.0,148.0,449.0
266,29.0,480.0,157.0,166.0,1964.0,723.0,7.0,92.0,239.0,814.0
267,36.0,481.0,132.0,151.0,1962.0,808.0,5.0,128.0,218.0,779.0
268,45.0,572.0,126.0,187.0,1956.0,712.0,2.0,105.0,215.0,728.0
269,61.0,577.0,130.0,182.0,1924.0,807.0,0.0,92.0,245.0,720.0
270,40.0,573.0,151.0,166.0,1840.0,691.0,3.0,75.0,241.0,667.0
271,28.0,588.0,176.0,178.0,1612.0,724.0,4.0,80.0,211.0,590.0
272,24.0,480.0,177.0,206.0,1956.0,879.0,6.0,71.0,232.0,575.0
273,8.0,272.0,138.0,125.0,1358.0,518.0,15.0,48.0,294.0,337.0
274,9.0,177.0,87.0,54.0,887.0,311.0,10.0,34.0,149.0,240.0
275,9.0,104.0,42.0,39.0,574.0,209.0,1.0,21.0,67.0,143.0
276,16.0,124.0,55.0,62.0,636.0,274.0,3.0,43.0,63.0,174.0
277,18.0,287.0,87.0,110.0,1251.0,500.0,3.0,94.0,145.0,426.0
278,35.0,464.0,149.0,213.0,1899.0,758.0,8.0,122.0,224.0,798.0
279,39.0,500.0,107.0,182.0,1928.0,779.0,2.0,131.0,242.0,746.0
280,59.0,595.0,112.0,182.0,1881.0,803.0,1.0,101.0,228.0,739.0
281,52.0,670.0,156.0,222.0,1857.0,755.0,2.0,93.0,261.0,696.0
282,37.0,552.0,119.0,197.0,1731.0,749.0,2.0,85.0,189.0,638.0
283,61.0,634.0,104.0,152.0,1630.0,676.0,2.0,68.0,208.0,531.0
284,28.0,574.0,164.0,172.0,1851.0,896.0,7.0,66.0,271.0,526.0
285,10.0,285.0,105.0,92.0,1207.0,562.0,11.0,60.0,262.0,332.0
286,9.0,187.0,74.0,53.0,707.0,357.0,10.0,40.0,166.0,236.0
287,6.0,124.0,54.0,32.0,499.0,226.0,4.0,29.0,86.0,159.0
288,20.0,153.0,55.0,38.0,605.0,218.0,8.0,25.0,75.0,217.0
289,19.0,283.0,97.0,98.0,1186.0,479.0,6.0,76.0,118.0,426.0
290,34.0,513.0,152.0,180.0,1952.0,821.0,14.0,94.0,228.0,719.0
291,43.0,590.0,130.0,170.0,1983.0,725.0,5.0,109.0,229.0,719.0
292,42.0,499.0,140.0,202.0,1766.0,675.0,3.0,91.0,229.0,593.0
293,47.0,587.0,143.0,180.0,1862.0,765.0,0.0,79.0,221.0,608.0
294,57.0,643.0,190.0,193.0,1883.0,806.0,5.0,92.0,222.0,643.0
295,71.0,598.0,178.0,198.0,1838.0,866.0,15.0,79.0,224.0,634.0
296,19.0,543.0,205.0,145.0,1652.0,870.0,14.0,65.0,199.0,489.0
297,14.0,330.0,131.0,110.0,1187.0,489.0,4.0,53.0,225.0,320.0
298,3.0,193.0,92.0,65.0,652.0,289.0,11.0,19.0,134.0,198.0
299,2.0,97.0,39.0,33.0,347.0,180.0,4.0,17.0,48.0,78.0
300,1.0,79.0,47.0,33.0,323.0,149.0,8.0,14.0,43.0,91.0
301,4.0,131.0,61.0,49.0,572.0,215.0,4.0,42.0,55.0,176.0
302,4.0,303.0,134.0,89.0,1162.0,508.0,3.0,58.0,165.0,315.0
303,10.0,462.0,161.0,138.0,1690.0,728.0,7.0,107.0,267.0,504.0
304,14.0,448.0,147.0,160.0,1537.0,618.0,8.0,106.0,244.0,439.0
305,6.0,456.0,169.0,131.0,1564.0,633.0,10.0,64.0,284.0,436.0
306,6.0,456.0,135.0,124.0,1394.0,613.0,9.0,58.0,248.0,291.0
307,6.0,320.0,124.0,101.0,1315.0,582.0,7.0,75.0,253.0,307.0
308,2.0,295.0,94.0,93.0,1068.0,473.0,4.0,53.0,243.0,211.0
309,1.0,205.0,110.0,58.0,817.0,366.0,6.0,34.0,220.0,166.0
310,4.0,121.0,68.0,37.0,498.0,219.0,10.0,22.0,102.0,113.0
311,0.0,64.0,34.0,18.0,281.0,140.0,2.0,28.0,62.0,97.0
312,1.0,58.0,40.0,16.0,246.0,135.0,5.0,16.0,53.0,79.0
313,5.0,127.0,61.0,43.0,464.0,197.0,3.0,36.0,139.0,128.0
314,5.0,219.0,98.0,75.0,1009.0,439.0,7.0,45.0,296.0,262.0
315,10.0,454.0,207.0,144.0,1555.0,701.0,5.0,106.0,392.0,390.0
316,10.0,406.0,163.0,144.0,1454.0,650.0,11.0,87.0,302.0,369.0
317,4.0,433.0,185.0,124.0,1491.0,676.0,7.0,81.0,265.0,304.0
318,4.0,366.0,141.0,81.0,1316.0,557.0,5.0,58.0,263.0,255.0
319,4.0,306.0,150.0,85.0,1150.0,587.0,8.0,57.0,270.0,250.0
320,3.0,264.0,141.0,62.0,1027.0,498.0,2.0,44.0,310.0,247.0
321,1.0,215.0,140.0,49.0,848.0,366.0,3.0,44.0,265.0,129.0
322,4.0,172.0,67.0,44.0,539.0,255.0,8.0,35.0,164.0,183.0
323,13.0,86.0,49.0,27.0,393.0,183.0,4.0,20.0,63.0,135.0
324,11.0,144.0,66.0,41.0,523.0,171.0,2.0,39.0,62.0,224.0
325,22.0,289.0,124.0,103.0,1065.0,438.0,8.0,66.0,131.0,445.0
326,29.0,452.0,186.0,152.0,1945.0,743.0,19.0,102.0,256.0,773.0
327,57.0,457.0,191.0,174.0,1826.0,738.0,24.0,116.0,283.0,799.0
328,52.0,583.0,149.0,155.0,1874.0,768.0,3.0,97.0,278.0,749.0
329,43.0,665.0,157.0,178.0,1806.0,736.0,1.0,199.0,256.0,684.0
330,39.0,676.0,137.0,207.0,1841.0,750.0,18.0,96.0,239.0,722.0
331,18.0,594.0,153.0,201.0,1914.0,714.0,6.0,71.0,243.0,721.0
332,37.0,590.0,179.0,217.0,1849.0,789.0,4.0,69.0,236.0,633.0
333,16.0,422.0,178.0,169.0,1598.0,711.0,9.0,88.0,218.0,487.0
334,5.0,271.0,125.0,97.0,1004.0,473.0,9.0,65.0,179.0,304.0
335,10.0,150.0,67.0,43.0,518.0,305.0,9.0,44.0,92.0,165.0
336,7.0,96.0,54.0,50.0,493.0,234.0,10.0,49.0,50.0,171.0
337,34.0,188.0,83.0,107.0,873.0,386.0,9.0,68.0,83.0,307.0
338,34.0,444.0,184.0,225.0,1896.0,845.0,7.0,117.0,208.0,746.0
339,30.0,453.0,136.0,219.0,1903.0,794.0,19.0,110.0,222.0,816.0
340,41.0,539.0,140.0,206.0,1842.0,811.0,0.0,85.0,202.0,842.0
341,65.0,547.0,143.0,245.0,1834.0,842.0,1.0,101.0,237.0,755.0
342,34.0,541.0,166.0,288.0,1732.0,839.0,1.0,170.0,225.0,750.0
343,57.0,576.0,113.0,232.0,1601.0,731.0,3.0,98.0,222.0,680.0
344,33.0,600.0,141.0,220.0,1559.0,671.0,16.0,90.0,236.0,650.0
345,15.0,417.0,157.0,166.0,1496.0,710.0,13.0,98.0,223.0,591.0
346,6.0,256.0,104.0,93.0,1026.0,456.0,5.0,60.0,159.0,306.0
347,7.0,130.0,62.0,47.0,479.0,282.0,11.0,33.0,78.0,176.0
348,11.0,99.0,50.0,55.0,420.0,248.0,3.0,32.0,46.0,165.0
349,15.0,161.0,76.0,81.0,766.0,310.0,8.0,33.0,53.0,288.0
350,25.0,421.0,116.0,169.0,1629.0,699.0,9.0,69.0,172.0,703.0
351,31.0,492.0,120.0,230.0,1911.0,781.0,15.0,92.0,217.0,815.0
352,56.0,547.0,116.0,220.0,1879.0,787.0,4.0,88.0,216.0,823.0
353,54.0,575.0,122.0,263.0,1971.0,765.0,1.0,94.0,198.0,701.0
354,28.0,613.0,134.0,217.0,1877.0,850.0,1.0,78.0,146.0,781.0
355,32.0,628.0,125.0,267.0,1796.0,886.0,0.0,68.0,202.0,721.0
356,41.0,540.0,131.0,198.0,1666.0,761.0,10.0,81.0,219.0,686.0
357,9.0,397.0,123.0,171.0,1320.0,743.0,22.0,77.0,198.0,629.0
358,9.0,231.0,125.0,109.0,861.0,477.0,2.0,53.0,123.0,309.0
359,1.0,135.0,68.0,51.0,477.0,241.0,5.0,27.0,57.0,188.0
360,5.0,107.0,42.0,52.0,472.0,183.0,4.0,24.0,46.0,176.0
361,19.0,228.0,71.0,124.0,888.0,328.0,5.0,60.0,85.0,327.0
362,46.0,453.0,151.0,264.0,1793.0,835.0,6.0,97.0,192.0,854.0
363,26.0,541.0,149.0,295.0,1832.0,767.0,18.0,81.0,168.0,816.0
364,50.0,611.0,126.0,252.0,1657.0,660.0,1.0,87.0,199.0,802.0
365,43.0,612.0,159.0,272.0,1645.0,648.0,2.0,80.0,173.0,737.0
366,41.0,590.0,161.0,257.0,1938.0,732.0,2.0,84.0,195.0,740.0
367,39.0,612.0,162.0,255.0,1797.0,805.0,1.0,77.0,212.0,757.0
368,25.0,306.0,201.0,190.0,1670.0,754.0,5.0,73.0,199.0,583.0
369,4.0,289.0,160.0,150.0,1367.0,526.0,11.0,38.0,199.0,383.0
370,7.0,251.0,99.0,139.0,889.0,381.0,3.0,27.0,189.0,292.0
